car_model,price,year_model,kms,color,fueltype
Kia Rio 1.4 Zenith,$78.000.000,2024,7.800,Gris,Gasolina
Kia Rio 1.5 Stylus,$20.500.000,2010,115.000,Gris,Gasolina
Kia Rio 1.4 Vibrant At,$58.800.000,2019,35.800,Gris,Gasolina
 Kia Rio Zenith 2018,$59.900.000,2018,44.307,Blanco,Gasolina
Kia Rio Ub Ex 2018,$50.990.000,2018,81.985,Plateado,Gasolina
Kia Rio Zenit 2018,$56.990.000,2018,79.693,Rojo,Gasolina
Kia Rio 1.4 Vibrant At,$78.000.000,2023,9.850,Gris,Gasolina
Kia Rio 1.4 Vibrant At,$66.900.000,2022,39.000,Plateado,Gasolina
Kia Rio 1.4 5 p,$36.900.000,2013,60.000,Marrón,Gasolina
Kia Rio 1.4 Vibrant Hb 5 p,$69.000.000,2023,22.800,Blanco,Gasolina
Kia Rio 1.2 5 p,$34.900.000,2014,85.131,Plateado,Gasolina
Kia Rio Spice R Rio Spice R 1.250cc,$44.800.000,2016,64.000,Color not found,Gasolina
Kia Rio 1.4 Vibrant Mt,$57.900.000,2020,21.200,Color not found,Gasolina
Kia Rio 1.2 4 p,$45.900.000,2014,89.300,Gris,Gasolina
Kia Rio Vibrant 1.400cc M/t C/a 2022,$62.900.000,2022,20.000,Negro,Gasolina
Kia Rio Summa Hb 1.400cc M/t C/a Sun Roof 2016,$46.900.000,2016,79.000,Gris,Gasolina
Kia Rio 1.2 4 p,$36.500.000,2014,112.500,Gris,Gasolina
Kia Rio R 1.4,$35.500.000,2015,130.000,Color not found,Gasolina
Kia Rio 1.4,$58.000.000,2020,57.114,Gris,Gasolina
Kia Rio R 1.250cc M/t C/a 2017,$46.900.000,2017,70.000,Plateado,Gasolina
Kia Rio 1.2 4 p,$45.900.000,2014,89.300,Gris,Gasolina
Kia Rio 1.4 Sc Nb,$61.800.000,2021,22.000,Color not found,Gasolina
Kia Rio 1.5 Stylus,$21.500.000,2012,151.000,Color not found,Gasolina
Kia Rio 1.4 Vibrant Hb 5 p,$61.900.000,2020,23.000,Blanco,Gasolina
Kia Rio Rio Spice R 2016,$46.000.000,2016,103.050,Rojo,Gasolina
Kia Rio Rio Spice R 1.2 2016,$46.000.000,2016,103.050,Rojo,Gasolina
Kia Rio 1.2,$44.490.000,2016,73.000,Gris,Gasolina
Kia Rio 1.4 Vibrant At 2021,$64.900.000,2021,47.100,Rojo,Gasolina
"Kia Rio Spice 2016 Excelente Estado, Unico Dueño, Papeles Ok",$45.000.000,2016,91.000,Blanco,Gasolina
Kia Rio 1.25 4 p,$41.500.000,2016,68.500,Color not found,Gasolina
Kia Rio 1.4 Vibrant At,$56.900.000,2019,62.000,Azul,Gasolina
Kia Rio 1.4 Vibrant At,$60.000.000,2022,75.779,Plateado,Gasolina
Kia Rio 1.4 Zenith Hb 5 p,$65.000.000,2021,49.000,Plateado,Gasolina
Kia Rio 1.4 Zenith Hb 4 p,$67.900.000,2021,48.000,Rojo,Gasolina
Kia Rio 1.4 4 p,$43.800.000,2014,93.900,Plateado,Gasolina
Kia Rio 1.25 5 p,$46.300.000,2017,57.000,Blanco,Gasolina
Kia Rio 1.4 Vibrant At,$64.900.000,2021,47.100,Rojo,Gasolina
Kia Rio VIBRANT 1400CC AT AA,$62.000.000,2021,31.000,Gris,Gasolina
  Kia   Rio R 1.25,$37.000.000,2015,74.874,Blanco,Gasolina
Kia Rio Spice 1.2,$39.600.000,2015,119.000,Gris,Gasolina
Kia 2024 VIBRANT,$84.990.000,2024,0,Gris,Gasolina
Kia Rio VIBRANT  1400CC MT AA,$57.500.000,2019,65.200,Blanco,Gasolina
Kia Rio 1.4 Vibrant,$78.900.000,2024,11.000,Gris,Gasolina
Kia Rio 1.25,$44.500.000,2017,83.500,Negro,Gasolina
Kia Rio Ub Ex 2018,$47.800.000,2018,62.000,Gris,Gasolina
